Draw Date,Prize,Gender,City,State
5/2/2014,1000000,M,Long Beach, NY
4/1/2014,1000000,M,Charlotte, NC
4/1/2014,1000000,F,Westland, MI
3/18/2014,1000000,Mixed,Downers Grove, IL
3/18/2014,1000000,Mixed,Vero Beach, FL
3/18/2014,1000000,M,Owosso, MI
3/18/2014,1960000,M,San Bruno, CA
3/14/2014,1000000,M,Westlake, OH
3/14/2014,3000000,F,Lepanto, AR
3/14/2014,3000000,F,Chantilly, VA
3/11/2014,1000000,Mixed,Fort Worth, TX
3/7/2014,1000000,M,Grafton, MA
3/4/2014,421811,F,San Jose, CA
2/25/2014,1000000,Unk,Essex, MD
2/21/2014,1000000,M,Richmond, VA
2/14/2014,505010,Mixed,Los Angeles, CA
2/14/2014,1000000,M,Endicott, NY
2/7/2014,1000000,M,Man, WV
2/4/2014,910781,M,Whittier, CA
1/21/2014,1000000,F,Garfield Heights, OH
1/17/2014,1000000,F,Waldorf, MD
1/14/2014,1000000,Mixed,Andover, MA
1/14/2014,1000000,F,Greensboro, NC
12/24/2013,1000000,F,Lombard, IL
12/24/2013,1000000,M,Mesa, AZ
12/20/2013,1000000,M,Payson, AZ
12/17/2013,324000000,M,San Jose, CA
12/17/2013,324000000,M,Stone Mountain, GA
12/17/2013,1000000,F,Brownsville, TX
12/17/2013,1000000,F,Niles, MI
12/17/2013,1000000,M,Bethlehem, GA
12/17/2013,1000000,Mixed,Columbus, NE
12/17/2013,1000000,F,Chicago, IL
12/13/2013,1000000,Mixed,Syracuse, NY
12/13/2013,1000000,M,Waterford, MI
12/13/2013,1000000,M,Manhattan, NY
12/13/2013,1000000,F,Eastpointe, MI
12/10/2013,1000000,M,Shelton, CT
12/10/2013,1000000,M,West Yarmouth, MA
11/26/2013,1000000,M,Glendale Heights, IL
11/26/2013,1000000,M,Coram, NY
11/26/2013,1000000,F,Stony Point, NY
11/22/2013,3000000,M,Rockwell, NC
11/19/2013,1000000,Mixed,Holbrook, MA
11/15/2013,1000000,F,Irondequoit, NY
11/12/2013,1000000,Mixed,Floral Park Village, NY
11/5/2013,410115,M,Oceanside, CA
11/1/2013,1000000,F,Fort Stockton, TX
10/25/2013,479070,M,Palmdale, CA
11/27/2012,50000000,M,Thomasville, GA
10/16/2012,3005000,M,Hyannis, MA
